title, author, genre
Babylon's Ashes, James S.A. Corey, sci-fi
Seveneves, Neal Stephenson, sci-fi
Ender's Shadow, Orson Scott Card, sci-fi
Shadow of the Hegemon, Orson Scott Card, sci-fi
The Diamond Age, Neal Stephenson, sci-fi
Dune Messiah, Frank Herbert, sci-fi
The Stars are Legion, Kameron Hurley, sci-fi
Legend, Marie Lu, dystopian
Prodigy, Marie Lu, dystopian
A Space Traveler's Guide to the Solar System, Mark Thompson, non-fiction
Champion, Marie Lu, dystopian
The Long Way to a Small, Angry Planet, Becky Chambers, sci-fi
Selected Short Stories of Franz Kafka, Franz Kafka, fiction
Freakonomics, "Steven D. Levitt, Stephen J. Dubner", non-fiction
Norse Mythology, Neil Gaiman, fantasy
Ready Player One, Ernest Cline, sci-fi
Why Wall Street Matters, William D. Cohan, non-fiction
The Man in the High Castle, Philip K. Dick, historical
Waking Gods, Sylvain Neuvel, sci-fi
Shadow Puppets, Orson Scott Card, sci-fi
Dragon Teeth, Michael Crichton, adventure
Eclipse, Frank Close, non-fiction
New York 2140, Kim Stanley Robinson, sci-fi
Waiting for Godot, Samuel Beckett, fiction
One of the Boys, Daniel Magariel, fiction
The Black Hand, Stephan Talty, non-fiction
Change Agent, Daniel Suarez, sci-fi
Speaker for the Dead, Orson Scott Card, sci-fi
Armada, Ernest Cline, sci-fi
Catastrophic Care, David Goldhill, non-fiction
4th Rock From the Sun, Nicky Jenner, non-fiction
Xenocide, Orson Scott Card, sci-fi
Children of the Mind, Orson Scott Card, sci-fi
Pillars of the Earth, Ken Follett, historical
The Diving Bell and the Butterfly, Jean-Dominique Bauby, non-fiction
American Gods, Neil Gaiman, fantasy
The Way of Kings, Brandon Sanderson, fantasy
A Closed and Common Orbit, Becky Chambers, sci-fi
Too Like the Lightning, Ada Palmer, sci-fi
Seven Surrenders, Ada Palmer, sci-fi
Warbreaker, Brandon Sanderson, fantasy
Astrophysics for People in a Hurry, Neil deGrasse Tyson, non-fiction
Annihilation, Jeff VanderMeer, sci-fi
The Walking Dead: Compendium One, "Robert Kirkman, Charlie Adlard, Tony Moore, Cliff Rathburn", fantasy
The Walking Dead: Compendium Two, "Robert Kirkman, Charlie Adlard, Cliff Rathburn", fantasy
The Walking Dead: Compendium Three, "Robert Kirkman, Charlie Adlard, Stefano Gaudiano, Cliff Rathburn", fantasy
The Influential Mind, Tali Sharot, non-fiction
Autonomous, Annalee Newitz, sci-fi
The Girl Who Takes an Eye for an Eye, David Lagercrantz, thriller
The Fifth Season, N.K. Jemisin, fantasy
The Obelisk Gate, N.K. Jemisin, fantasy
The Stone Sky, N.K. Jemisin, fantasy
Be Free or Die, Cate Lineberry, non-fiction
Words of Radiance, Brandon Sanderson, fantasy
Edgedancer, Brandon Sanderson, fantasy
Machine Learning, Hugh Howey, sci-fi
Redshirts, John Scalzi, sci-fi
Slaughterhouse-Five, Kurt Vonnegut, sci-fi
Mental Health, Inc., Art Levine, non-fiction
Oathbringer, Brandon Sanderson, fantasy
Artemis, Andy Weir, sci-fi
Persepolis Rising, James S.A. Corey, sci-fi
The Lies of Locke Lamora, Scott Lynch, fantasy
How We Eat with Our Eyes and Think with Our Stomach, "Melanie Mühl, Diana von Kopp", non-fiction
Soonish, "Kelly Weinersmith, Zach Weinersmith", non-fiction
IQ, Joe Ide, mystery
Red Seas Under Red Skies, Scott Lynch, fantasy
Righteous, Joe Ide, mystery
Her Body and Other Parties, Carmen Maria Machado, fiction
The Republic of Thieves, Scott Lynch, fantasy
Stories of Your Life and Others, Ted Chiang, sci-fi
